Kinase,Other names
AKT1_HUMAN,RAC-alpha serine/threonine-protein kinase
AKT2_HUMAN,RAC-beta serine/threonine-protein kinase
AKT3_HUMAN,RAC-gamma serine/threonine-protein kinase
MRCKA_HUMAN,Serine/threonine-protein kinase MRCK alpha
MRCKB_HUMAN,Serine/threonine-protein kinase MRCK beta
MRCKG_HUMAN,Serine/threonine-protein kinase MRCK gamma
CTRO_HUMAN,Citron Rho-interacting kinase
DMPK_HUMAN,Myotonin-protein kinase
GRK1_HUMAN,Rhodopsin kinase GRK1
GRK1_HUMAN,RAC-alpha serine/threonine-protein kinase
AKT1_HUMAN,Protein kinase B
AKT1_HUMAN,PKB
AKT1_HUMAN,Protein kinase B alpha
AKT1_HUMAN,PKB alpha
AKT1_HUMAN,Proto-oncogene c-Akt
AKT1_HUMAN,RAC-PK-alpha
GRK1_HUMAN,RAC-beta serine/threonine-protein kinase
AKT2_HUMAN,Protein kinase Akt-2
AKT2_HUMAN,Protein kinase B beta
AKT2_HUMAN,PKB beta
AKT2_HUMAN,RAC-PK-beta
GRK1_HUMAN,RAC-gamma serine/threonine-protein kinase
AKT3_HUMAN,Protein kinase Akt-3
AKT3_HUMAN,Protein kinase B gamma
AKT3_HUMAN,PKB gamma
AKT3_HUMAN,RAC-PK-gamma
AKT3_HUMAN,STK-2
GRK1_HUMAN,Serine/threonine-protein kinase MRCK alpha
MRCKA_HUMAN,DMPK-like alpha
MRCKA_HUMAN,Myotonic dystrophy kinase-related CDC42-binding kinase alpha
MRCKA_HUMAN,MRCK alpha
MRCKA_HUMAN,Myotonic dystrophy protein kinase-like alpha
GRK1_HUMAN,Serine/threonine-protein kinase MRCK beta
MRCKB_HUMAN,DMPK-like beta
MRCKB_HUMAN,Myotonic dystrophy kinase-related CDC42-binding kinase beta
MRCKB_HUMAN,MRCK beta
MRCKB_HUMAN,Myotonic dystrophy protein kinase-like beta
GRK1_HUMAN,Serine/threonine-protein kinase MRCK gamma
MRCKG_HUMAN,DMPK-like gamma
MRCKG_HUMAN,Myotonic dystrophy kinase-related CDC42-binding kinase gamma
MRCKG_HUMAN,MRCK gamma
MRCKG_HUMAN,MRCKG
MRCKG_HUMAN,Myotonic dystrophy protein kinase-like gamma
MRCKG_HUMAN,Myotonic dystrophy protein kinase-like alpha
GRK1_HUMAN,Citron Rho-interacting kinase
CTRO_HUMAN,Serine/threonine-protein kinase 21
GRK1_HUMAN,Myotonin-protein kinase
DMPK_HUMAN,MT-PK
DMPK_HUMAN,DM-kinase
DMPK_HUMAN,DMK
DMPK_HUMAN,DM1 protein kinase
DMPK_HUMAN,DMPK
DMPK_HUMAN,Myotonic dystrophy protein kinase
GRK1_HUMAN,Rhodopsin kinase GRK1
GRK1_HUMAN,RK
GRK1_HUMAN,G protein-coupled receptor kinase 1
